Назва,Вид,Місто,Сайт,Пошта (Email)
"Початковий","Готель / Гостиниця","Україна","",""
"Черная лошадь","Готель / Гостиниця","Україна","",""
"Дельфин","Готель / Гостиниця","Україна","",""
"Оксамит","Готель / Гостиниця","Україна","https://oksamit-resort.com.ua/","oksamit.resort@gmail.com"
"База відпочинку ""Ярина""","Готель / Гостиниця","Україна","",""
"Ева","Готель / Гостиниця","Україна","",""
"Ярослав","Готель / Гостиниця","Україна","",""
"Арт-Отель","Готель / Гостиниця","Україна","",""
"Unnamed hotels","Готель / Гостиниця","Україна","",""
"Академія","Готель / Гостиниця","Україна","","info@academiа.dp.uа"
"Супутник","Готель / Гостиниця","Україна","",""
"Буковина","Готель / Гостиниця","Україна","https://bukovyna-hotel.com/","info@bukovyna-hotel.com"
"Знання","Готель / Гостиниця","Україна","",""
"Лев","Готель / Гостиниця","Україна","",""
"Карпати","Готель / Гостиниця","Україна","",""
"Гомін Прута","Готель / Гостиниця","Україна","",""
"Ярсон","Готель / Гостиниця","Україна","",""
"Первоцвіт","Готель / Гостиниця","Україна","",""
"Замок","Готель / Гостиниця","Україна","",""
"Мрія","Готель / Гостиниця","Україна","",""
"Лісова казка","Готель / Гостиниця","Україна","",""
"София","Готель / Гостиниця","Україна","","licom@list.ru"
"RANDEVU","Готель / Гостиниця","Україна","",""
"Лидия","Готель / Гостиниця","Україна","",""
"Теремок","Готель / Гостиниця","Україна","",""
"Шахтар","Готель / Гостиниця","Україна","",""
"Мотель","Готель / Гостиниця","Україна","",""
"Пансионат ""Крошка Енот""","Готель / Гостиниця","Україна","",""
"Kodak Sudak","Готель / Гостиниця","Україна","",""
"Форум","Готель / Гостиниця","Україна","",""
"Royal","Готель / Гостиниця","Україна","",""
"Mare Nero","Готель / Гостиниця","Україна","",""
"Ярд","Готель / Гостиниця","Україна","https://hotelyard.com/","hotelyard@bk.ru"
"База відпочинку ""Плай""","Готель / Гостиниця","Україна","",""
"Колиба","Готель / Гостиниця","Україна","",""
"Голосіївський","Готель / Гостиниця","Україна","http://hotelgolos.kiev.ua/",""
"Лани","Готель / Гостиниця","Україна","",""
"Кльове місце","Готель / Гостиниця","Україна","",""
"Kiev Lodging Hostel","Готель / Гостиниця","Україна","",""
"Sun Hostel","Готель / Гостиниця","Україна","",""
"""Турист""","Готель / Гостиниця","Україна","",""
"Фортеця","Готель / Гостиниця","Україна","",""
"Гірськовий ручій","Готель / Гостиниця","Україна","",""
"Salve Hostel","Готель / Гостиниця","Україна","http://salvekiev.com",""
"Спортивная","Готель / Гостиниця","Україна","",""
"Захар Беркут","Готель / Гостиниця","Україна","https://zaharberkut.ua/hotel/","hotel@zaharberkut.net"
"Attache Hotel","Готель / Гостиниця","Україна","",""
"Джерело","Готель / Гостиниця","Україна","",""
"Центральний","Готель / Гостиниця","Україна","",""
"Гостинний двір","Готель / Гостиниця","Україна","",""
"Версаль","Готель / Гостиниця","Україна","http://hotel-versal.com/",""
"Феріде","Готель / Гостиниця","Україна","",""
"Вінниця","Готель / Гостиниця","Україна","",""
"Товмед","Готель / Гостиниця","Україна","",""
"Ритм","Готель / Гостиниця","Україна","",""
"Жовтневий","Готель / Гостиниця","Україна","",""
"Козацький стан","Готель / Гостиниця","Україна","",""
"Victoria Hotel","Готель / Гостиниця","Україна","",""
"Україна","Готель / Гостиниця","Україна","",""
"""Yes!""","Готель / Гостиниця","Україна","",""
"Мир","Готель / Гостиниця","Україна","http://www.hotelmir.kiev.ua/","info@hotelmir.kiev.ua"
"Славутчанка","Готель / Гостиниця","Україна","",""
"Калина","Готель / Гостиниця","Україна","",""
"Здоров'я","Готель / Гостиниця","Україна","",""
"Рута","Готель / Гостиниця","Україна","",""
"Експрес","Готель / Гостиниця","Україна","",""
"Садиба","Готель / Гостиниця","Україна","",""
"Степ","Готель / Гостиниця","Україна","",""
"НЛО","Готель / Гостиниця","Україна","",""
"Санаторий «Солнечный»","Готель / Гостиниця","Україна","",""
"Сан. Мисхор","Готель / Гостиниця","Україна","",""
"Горянин","Готель / Гостиниця","Україна","",""
"Виноробня Курінь","Готель / Гостиниця","Україна","",""
"База відпочинку ""Сонячна""","Готель / Гостиниця","Україна","",""
"Феофанія","Готель / Гостиниця","Україна","",""
"Подільський двір","Готель / Гостиниця","Україна","",""
"Предслава","Готель / Гостиниця","Україна","",""
"ТОК ""Таврия""","Готель / Гостиниця","Україна","",""
"Кедем","Готель / Гостиниця","Україна","",""
"Добродій","Готель / Гостиниця","Україна","",""
"Ноєв Ковчег","Готель / Гостиниця","Україна","",""
"Вітряк","Готель / Гостиниця","Україна","",""
"Щедра Пані","Готель / Гостиниця","Україна","",""
"Орлиное гнездо","Готель / Гостиниця","Україна","",""
"Афалина","Готель / Гостиниця","Україна","",""
"Веста","Готель / Гостиниця","Україна","",""
"Дружба","Готель / Гостиниця","Україна","",""
"Sakhalin","Готель / Гостиниця","Україна","",""
"Перлина","Готель / Гостиниця","Україна","",""
"Карпатія","Готель / Гостиниця","Україна","",""
"Мараморош","Готель / Гостиниця","Україна","",""
"Плюс","Готель / Гостиниця","Україна","",""
"Панама","Готель / Гостиниця","Україна","",""
"Ірпінь","Готель / Гостиниця","Україна","",""
"Краматорськ","Готель / Гостиниця","Україна","http://kramhotel.dn.ua",""
"Ірина","Готель / Гостиниця","Україна","",""
"Два оленя","Готель / Гостиниця","Україна","",""
"Ювілейний","Готель / Гостиниця","Україна","",""
"Хуторок","Готель / Гостиниця","Україна","",""
"Квітка полонини","Готель / Гостиниця","Україна","",""
"Вілла Квітка","Готель / Гостиниця","Україна","http://villa-kvitka.com.ua/ua/",""
"Kiev Central Station Hostel","Готель / Гостиниця","Україна","",""
"Аромацентр","Готель / Гостиниця","Україна","",""
"Симферополь","Готель / Гостиниця","Україна","",""
"Турбаза Ай-Петри","Готель / Гостиниця","Україна","",""
"Меридиан","Готель / Гостиниця","Україна","",""
"Індустрія","Готель / Гостиниця","Україна","",""
"У Тролля","Готель / Гостиниця","Україна","",""
"Донбасс","Готель / Гостиниця","Україна","",""
"Hotel 5 звезд","Готель / Гостиниця","Україна","",""
"Пролисок","Готель / Гостиниця","Україна","",""
"Весна","Готель / Гостиниця","Україна","",""
"Чайка","Готель / Гостиниця","Україна","",""
"Вогник","Готель / Гостиниця","Україна","",""
"Голубой залив","Готель / Гостиниця","Україна","",""
"Рассвет","Готель / Гостиниця","Україна","",""
"Росинка","Готель / Гостиниця","Україна","",""
"Соїча","Готель / Гостиниця","Україна","",""
"Хвойна","Готель / Гостиниця","Україна","",""
"Аква","Готель / Гостиниця","Україна","",""
"ФТИНТ","Готель / Гостиниця","Україна","",""
"Соснова","Готель / Гостиниця","Україна","",""
"Срібний бір","Готель / Гостиниця","Україна","",""
"Бурштинова","Готель / Гостиниця","Україна","",""
"УТОС","Готель / Гостиниця","Україна","",""
"Коммунальник","Готель / Гостиниця","Україна","",""
"Парус-Макси","Готель / Гостиниця","Україна","",""
"Аерофлот","Готель / Гостиниця","Україна","",""
"Енергетик","Готель / Гостиниця","Україна","",""
"Інтурист","Готель / Гостиниця","Україна","",""
"Ахтамар","Готель / Гостиниця","Україна","",""
"Катерина","Готель / Гостиниця","Україна","",""
"Європа","Готель / Гостиниця","Україна","",""
